provider_id,vendor,asn,cidr,start_ip,end_ip,org,scope,status
aeza-group,Aeza Group,AS210644,104.238.29.0/24,104.238.29.0,104.238.29.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,109.107.181.0/24,109.107.181.0,109.107.181.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,109.107.190.0/24,109.107.190.0,109.107.190.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,109.120.132.0/22,109.120.132.0,109.120.135.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,109.120.138.0/23,109.120.138.0,109.120.140.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,109.120.140.0/24,109.120.138.0,109.120.140.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,109.120.149.0/24,109.120.149.0,109.120.151.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,109.120.150.0/23,109.120.149.0,109.120.151.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,109.120.155.0/24,109.120.155.0,109.120.157.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,109.120.156.0/23,109.120.155.0,109.120.157.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,109.120.176.0/22,109.120.176.0,109.120.179.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,109.120.184.0/22,109.120.184.0,109.120.187.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,109.172.94.0/23,109.172.94.0,109.172.95.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.101.0/24,138.124.101.0,138.124.103.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.102.0/23,138.124.101.0,138.124.103.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.108.0/23,138.124.108.0,138.124.110.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.110.0/24,138.124.108.0,138.124.110.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.112.0/21,138.124.112.0,138.124.119.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.123.0/24,138.124.123.0,138.124.124.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.124.0/24,138.124.123.0,138.124.124.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.127.0/24,138.124.127.0,138.124.127.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.18.0/24,138.124.18.0,138.124.18.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.24.0/23,138.124.24.0,138.124.26.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.26.0/24,138.124.24.0,138.124.26.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.29.0/24,138.124.29.0,138.124.29.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.34.0/23,138.124.34.0,138.124.35.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,138.124.49.0/24,138.124.49.0,138.124.55.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
